"['packet_nr', 'EMG_CH1', 'EMG_CH2', 'EMG_CH3', 'EMG_CH4', 'EMG_CH5', 'stim_amp1', 'stim_freq1', 'stim_pw1', 'stim_amp2', 'stim_freq2', 'stim_pw2', 'total_runtime', 'time_offset']"
9,4.757488764358965,2.7771385170326415,-190.21550659573893,-0.19921048951786774,0.0,7,20,260,7,20,260,10.726051092147827,250
10,4.5933900042778095,2.6374103647805143,-181.23620211878233,-0.18980656827940748,0.0,7,20,260,7,20,260,10.875325679779053,260
11,4.334715805808048,2.497539714538326,-171.91731214766756,-0.18004700309880112,0.0,7,20,260,7,20,260,10.993355989456177,239
12,4.089476078835826,2.3550256538153658,-162.27888802282484,-0.16995279351185225,0.0,7,20,260,7,20,260,11.10957145690918,256
13,3.8230344389817184,2.208997518300169,-152.34456630385404,-0.15954869381273687,0.0,7,20,260,7,20,260,11.209882974624634,243
14,3.5837832512326044,2.0637129521434865,-142.14133508080818,-0.14886296831452633,0.0,7,20,260,7,20,260,11.408879041671753,249
15,3.2872598692033326,1.9166311863900418,-131.69927165763755,-0.13792711662810753,0.0,7,20,260,7,20,260,11.494779825210571,250
16,3.013099074909364,1.7677739904026275,-121.05125408469863,-0.12677557155353114,0.0,7,20,260,7,20,260,11.643789052963257,250
17,2.7602418724043734,1.620085215316309,-110.23264923803434,-0.11544537240906647,0.0,7,20,260,7,20,260,11.77710247039795,250
18,2.456194405185203,1.467856592874719,-99.28098033877346,-0.10397581682813267,0.0,7,20,260,7,20,260,11.877050399780273,250
19,2.179493646315831,1.3022432112663962,-88.23557697485232,-0.09240809423111476,0.0,7,20,260,7,20,260,12.058954000473022,249
20,1.9291502693811782,1.1378015691065029,-77.13721082795473,-0.08078490432642091,0.0,7,20,260,7,20,260,12.225048303604126,250
21,1.674245796004663,0.9786567367684865,-66.02772041998374,-0.06915006411182334,0.0,7,20,260,7,20,260,12.293846130371094,250
22,1.42173678242114,0.818216356966272,-54.9496282746682,-0.0575481069322583,0.0,7,20,260,7,20,260,12.425979852676392,250
23,1.1334120183237397,0.6544199855578526,-43.945753940495266,-0.04602387720323961,0.0,7,20,260,7,20,260,12.510398626327515,249
24,0.8599100108330833,0.49053604159447706,-33.05882634074736,-0.03462212442955737,0.0,7,20,260,7,20,260,12.577028036117554,250
25,0.5800334246904769,0.33033701556247763,-22.33109890499141,-0.023387100136959105,0.0,7,20,260,7,20,260,12.775692701339722,250
26,0.2939716401323472,0.17270960443832167,-11.803970894172412,-0.012362161290320906,0.0,7,20,260,7,20,260,12.94314432144165,250
27,0.01576712569640426,0.019167153953448257,-1.517618259040896,-0.0015893836959683626,0.0,7,20,260,7,20,260,13.093215227127075,249
28,-0.20635397112246134,-0.13585970275660603,8.489362730210983,0.008890811220864044,0.0,7,20,260,7,20,260,13.160505056381226,250
29,-0.42943558037680407,-0.29119956076891707,18.180295975457202,0.019040013008832474,0.0,7,20,260,7,20,260,13.326300144195557,250
30,-0.6546651284322135,-0.4386984994919708,27.52074721293462,0.02882215906366921,0.0,7,20,260,7,20,260,13.396255016326904,250
31,-0.9270815150261102,-0.5733223130835129,36.47882407878946,0.038203848883342495,0.0,7,20,260,7,20,260,13.524643421173096,259
32,-1.1150609439312236,-0.6978789512917527,45.025452016911544,0.04715463302312474,0.0,7,20,260,7,20,260,13.57526159286499,240
33,-1.3135648385278436,-0.8198521606313496,53.13462369646561,0.05564727430767414,0.0,7,20,260,7,20,260,13.677097082138062,260
34,-1.5410122113476588,-0.9326621222499485,60.78361985454411,0.06365797911697925,0.0,7,20,260,7,20,260,13.775921821594238,239
35,-1.7126601742397867,-1.0372057813174576,67.95319974471107,0.07116659684090496,0.0,7,20,260,7,20,260,13.844261646270752,249
36,-1.8732309460474914,-1.1381899065434626,74.6277596524198,0.07815678589054736,0.0,7,20,260,7,20,260,13.927303791046143,249
37,-2.016625290781111,-1.231530060098201,80.79545823079076,0.08461614496093756,0.0,7,20,260,7,20,260,14.042542934417725,250
38,-2.153161048982681,-1.3156758432105797,86.44830771235661,0.0905363085560427,0.0,7,20,260,7,20,260,14.160379409790039,250
39,-2.2514094244435694,-1.387010031000382,91.58223036136818,0.09591300611061004,0.0,7,20,260,7,20,260,14.260489702224731,249
40,-2.3628743758349233,-1.4654458420604026,96.19707984431253,0.10074608437126165,0.0,7,20,260,7,20,260,14.4439115524292,250
41,-2.500739765244879,-1.5352575470167813,100.29662751060846,0.10503949302842655,0.0,7,20,260,7,20,260,14.575810194015503,250
42,-2.607500626670905,-1.5953326938589496,103.88851388820086,0.10880123391824008,0.0,7,20,260,7,20,260,14.660513162612915,250
43,-2.695516269558841,-1.6466783315592681,106.98416600718254,0.11204327443653417,0.0,7,20,260,7,20,260,14.826251983642578,249
44,-2.7676470486735916,-1.6845064197018553,109.59868146590915,0.11478142612262704,0.0,7,20,260,7,20,260,14.943689584732056,250
45,-2.8048611814948887,-1.7184291226626673,111.75068044567637,0.11703518967601437,0.0,7,20,260,7,20,260,15.094250917434692,250
46,-2.87185254672874,-1.7412442161007782,113.46212715934556,0.1188275679615897,0.0,7,20,260,7,20,260,15.259880065917969,250
47,-2.9022991187765923,-1.7542614997653225,114.75812248391112,0.12018484883614203,0.0,7,20,260,7,20,260,15.343871355056763,249
48,-2.9392016145822906,-1.767284359620392,115.66666977460366,0.12113635988818738,0.0,7,20,260,7,20,260,15.410557270050049,250
49,-2.9240181586170726,-1.7740446198862287,116.21841608660486,0.12171419742247873,0.0,7,20,260,7,20,260,15.59030032157898,250
50,-2.956917533339923,-1.783393435639713,116.44637123786585,0.12195293223775991,0.0,7,20,260,7,20,260,15.677198886871338,250
51,-2.894075760740625,-1.7780840709587513,116.38560733113015,0.12188929493967329,0.0,7,20,260,7,20,260,15.843086957931519,250
52,-2.9178516805103705,-1.758207821806712,116.07294151354391,0.12156184369858512,0.0,7,20,260,7,20,260,15.975664854049683,250
53,-2.8995825699882833,-1.7306989188404869,115.54660488687281,0.12101061750310275,0.0,7,20,260,7,20,260,16.06059980392456,259
54,-2.8759400102741703,-1.7055459322187938,114.84590058928478,0.12027677807309972,0.0,7,20,260,7,20,260,16.210298538208008,241
55,-2.8537365596074085,-1.6790137096363862,114.01085415006966,0.1194022436802766,0.0,7,20,260,7,20,260,16.30847930908203,250
56,-2.8280774507348942,-1.6514610439089112,113.0818592709809,0.11842931817907716,0.0,7,20,260,7,20,260,16.460604429244995,250
57,-2.846168544301873,-1.6212776192693321,112.09932221178416,0.11740031857580517,0.0,7,20,260,7,20,260,16.558876752853394,250
