"['packet_nr', 'EMG_CH1', 'EMG_CH2', 'EMG_CH3', 'EMG_CH4', 'EMG_CH5', 'stim_amp1', 'stim_freq1', 'stim_pw1', 'stim_amp2', 'stim_freq2', 'stim_pw2', 'total_runtime']"
28,-0.3769970559343849,-0.34793834183073113,18.180295975457202,0.019040013008832474,0.0,7,20,260,7,20,260,14.33914566040039,250
29,-0.5463530677241198,-0.5299684245605014,27.52074721293462,0.02882215906366921,0.0,7,20,260,7,20,260,14.584209203720093,250
30,-0.7465237552297173,-0.7098263491054391,36.47882407878946,0.038203848883342495,0.0,7,20,260,7,20,260,14.832991361618042,250
31,-0.9480712564616667,-0.8754181733740487,45.025452016911544,0.04715463302312474,0.0,7,20,260,7,20,260,14.937506914138794,260
32,-1.1247618456346196,-1.0278947298143506,53.13462369646561,0.05564727430767414,0.0,7,20,260,7,20,260,15.052772283554077,239
33,-1.2881043303431978,-1.167998580905233,60.78361985454411,0.06365797911697925,0.0,7,20,260,7,20,260,15.15273118019104,249
34,-1.4447221763084834,-1.3099869763596355,67.95319974471107,0.07116659684090496,0.0,7,20,260,7,20,260,15.217024326324463,250
35,-1.5641869547434868,-1.4379099690537498,74.6277596524198,0.07815678589054736,0.0,7,20,260,7,20,260,15.303066968917847,249
36,-1.7093382260549292,-1.5601317239565629,80.79545823079076,0.08461614496093756,0.0,7,20,260,7,20,260,15.417968511581421,249
37,-1.8581776622453954,-1.6705519050775197,86.44830771235661,0.0905363085560427,0.0,7,20,260,7,20,260,15.599690675735474,250
38,-1.96980779413278,-1.7668239865120159,91.58223036136818,0.09591300611061004,0.0,7,20,260,7,20,260,15.662579774856567,249
39,-2.0161382857761003,-1.8541788772423409,96.19707984431253,0.10074608437126165,0.0,7,20,260,7,20,260,15.77020001411438,250
40,-2.111923216467902,-1.9325576665243869,100.29662751060846,0.10503949302842655,0.0,7,20,260,7,20,260,15.83614206314087,250
41,-2.224418084424351,-2.010752628109569,103.88851388820086,0.10880123391824008,0.0,7,20,260,7,20,260,15.95029592514038,250
42,-2.269983391444596,-2.074942496394363,106.98416600718254,0.11204327443653417,0.0,7,20,260,7,20,260,16.047827005386353,249
43,-2.323273135125044,-2.117814301187382,109.59868146590915,0.11478142612262704,0.0,7,20,260,7,20,260,16.137375593185425,250
44,-2.3333993784494096,-2.1511290099445426,111.75068044567637,0.11703518967601437,0.0,7,20,260,7,20,260,16.285428524017334,250
45,-2.3675731683411776,-2.1887622680860384,113.46212715934556,0.1188275679615897,0.0,7,20,260,7,20,260,16.38625168800354,250
46,-2.423051545816695,-2.215319324682574,114.75812248391112,0.12018484883614203,0.0,7,20,260,7,20,260,16.519584894180298,250
47,-2.447621415291817,-2.235306034131387,115.66666977460366,0.12113635988818738,0.0,7,20,260,7,20,260,16.686057806015015,249
48,-2.5037387257666106,-2.2475608058667813,116.21841608660486,0.12171419742247873,0.0,7,20,260,7,20,260,16.769802808761597,250
49,-2.4444166938736043,-2.250841792660508,116.44637123786585,0.12195293223775991,0.0,7,20,260,7,20,260,16.985677242279053,250
50,-2.42702946160678,-2.2433141804906924,116.38560733113015,0.12188929493967329,0.0,7,20,260,7,20,260,17.202752590179443,250
51,-2.4290463708221326,-2.2371199585885986,116.07294151354391,0.12156184369858512,0.0,7,20,260,7,20,260,17.317203283309937,250
52,-2.4355514623211585,-2.232321432655328,115.54660488687281,0.12101061750310275,0.0,7,20,260,7,20,260,17.386635780334473,249
53,-2.4321068839942472,-2.2177602764530704,114.84590058928478,0.12027677807309972,0.0,7,20,260,7,20,260,17.551056146621704,250
54,-2.4324269111336907,-2.2014236760277184,114.01085415006966,0.1194022436802766,0.0,7,20,260,7,20,260,17.702847957611084,250
55,-2.4060146171208956,-2.179941115077764,113.0818592709809,0.11842931817907716,0.0,7,20,260,7,20,260,17.80265498161316,250
56,-2.3579048391971655,-2.15899768249848,112.09932221178416,0.11740031857580517,0.0,7,20,260,7,20,260,17.95272397994995,250
57,-2.3703155503055364,-2.1435993605475807,111.10330795301812,0.11635720445899608,0.0,7,20,260,7,20,260,18.0527446269989,250
58,-2.378846837068789,-2.1271953581890446,110.13319127611265,0.11534121257967986,0.0,7,20,260,7,20,260,18.119636297225952,251
59,-2.327886304705263,-2.109383550763049,109.22731584030873,0.1143924998066013,0.0,7,20,260,7,20,260,18.26939082145691,250
60,-2.281148477741592,-2.0890995157038907,108.42266424797563,0.1135497975894609,0.0,7,20,260,7,20,260,18.387006998062134,250
61,-2.2681747035940014,-2.073934839945857,107.75454197585529,0.11285008094378005,0.0,7,20,260,7,20,260,18.603034496307373,249
62,-2.2206979591115874,-2.0640840062415595,107.25627791064187,0.1123282548252934,0.0,7,20,260,7,20,260,18.73638677597046,250
63,-2.1762589483528205,-2.054762015708079,106.95894406450373,0.11201686059127311,0.0,7,20,260,7,20,260,18.887035369873047,250
0,-2.2416528958735005,-2.050577303447743,106.8910968612563,0.11194580505254409,0.0,7,20,260,7,20,260,19.03294610977173,250
1,-2.2597421013944987,-2.0575514471849083,107.07854217867009,0.11214211440502261,0.0,7,20,260,7,20,260,19.133707761764526,250
2,-2.295986613888149,-2.0724325823510314,107.5441261087893,0.1126297150954298,0.0,7,20,260,7,20,260,19.28461790084839,249
3,-2.288127951691481,-2.086987795171388,108.3075531582449,0.11342924342459268,0.0,7,20,260,7,20,260,19.449934005737305,250
4,-2.304904350095018,-2.1049839362919918,109.38523335659832,0.11455788542578871,0.0,7,20,260,7,20,260,19.536397695541382,250
5,-2.294149837286664,-2.1310060650667255,110.79015947509603,0.11602924827737368,0.0,7,20,260,7,20,260,19.63502287864685,250
6,-2.329760866854249,-2.1626808936718938,112.53181528328398,0.1178532642210014,0.0,7,20,260,7,20,260,19.787147045135498,249
7,-2.3934183479700057,-2.201005156342157,114.61611548923764,0.12003612766172364,0.0,7,20,260,7,20,260,19.919424772262573,250
8,-2.451091692077723,-2.2535078695051833,117.0453777232521,0.12258026582683468,0.0,7,20,260,7,20,260,20.036057472229004,250
9,-2.505442375144257,-2.3040987626826555,119.81832663729324,0.12548434305917788,0.0,7,20,260,7,20,260,20.20225429534912,250
10,-2.6351298958037246,-2.353650866665248,122.93012990590526,0.12874329852047875,0.0,7,20,260,7,20,260,20.286385774612427,250
11,-2.6395249172251214,-2.414891169458547,126.37246563116372,0.13234841678376852,0.0,7,20,260,7,20,260,20.36735486984253,260
